grp_id,brand,name,category,max_shelved_stock,max_back_stock,regular_price,sale_price,price_status,popularity,popularity_delta,lot_price,lot_quantity,sublots,sublot_quantity,expiration_days,threshold
2,meat,fridge_1,2,200,200,12.99,,,0.65,,,100,4,25,23,
6,cheese wheel,fridge_2,2,200,200,4.75,,,0.46,,,40,4,10,42,
8,yogurt,fridge_3,2,200,200,3.29,,,0.29,,,40,4,10,30,
12,milk,fridge_4,2,200,200,2.99,,,0.45,,,160,4,40,13,
16,special_yogurt,fridge_5,2,200,200,4.50,,,0.11,,,800,4,200,30,
17,weird_cheese,fridge_6,2,200,200,7.39,,,0.09,,,100,4,25,40,
1,pizza,frozen_1,1,200,200,9.99,,,0.43,,,400,4,100,33,
3,veggies,frozen_2,1,200,200,2.99,,,0.29,,,200,4,50,80,
7,ice_cream,frozen_3,1,200,200,3.99,,,0.33,,,100,4,25,40,
13,special_ice_cream,frozen_4,1,200,200,4.49,,,0.12,,,40,4,10,40,
18,weird_veggies,frozen_5,1,200,200,4.49,,,0.23,,,80,4,20,80,
4,cereal,pantry_1,3,200,200,2.75,,,0.67,,,100,4,25,730,
5,honey,pantry_2,3,200,200,2.29,,,0.99,,,40,4,10,730,
9,granola,pantry_4,3,200,200,5.75,,,0.36,,,160,4,40,365,
10,canned_soup,pantry_5,3,200,200,3.89,,,0.23,,,200,4,50,1460,
11,special_syrup,pantry_6,3,200,200,4.89,,,0.13,,,100,4,25,365,
14,special_honey,pantry_7,3,200,200,3.99,,,0.17,,,100,4,25,720,
19,weird_soup,pantry_8,3,200,200,0.75,,,0.06,,,40,4,10,115,
20,weird_cereal,pantry_9,3,200,200,0.29,,,0.03,,,40,4,10,420,
15,litter,pet_1,4,200,200,33.33,,,0.21,,,20,2,10,800,
